指标分类,具体指标,2021年,2022年,2023年,备注
收入总量,营业收入(亿元),7.20,9.50,12.10,三年复合增长率约30%
收入总量,收入增速,—,32.0%,27.4%,
收入结构,机器人本体及部件收入(亿元),3.20,4.00,5.10,占比约42%
收入结构,系统集成方案收入(亿元),4.00,5.50,7.00,占比约58%
收入结构,新能源汽车行业收入(亿元),2.88,4.09,5.45,占比从40%升至45%
收入结构,半导体行业收入(亿元),1.30,2.09,3.03,占比从18%升至25%
收入结构,3C电子行业收入(亿元),2.02,2.38,2.42,占比从28%降至20%
收入结构,其他行业收入(亿元),1.00,0.94,1.20,占比约10%
收入结构,华东区域收入(亿元),4.18,5.32,6.66,占比约55%
收入结构,华南区域收入(亿元),1.58,2.28,3.03,占比约25%
收入结构,海外收入(亿元),0.36,0.67,0.97,占比从5%升至8%
收入结构,其他区域收入(亿元),1.08,1.23,1.44,占比约12%
盈利指标,综合毛利率,38.5%,39.2%,40.1%,持续改善
盈利指标,本体业务毛利率,40.0%,41.0%,42.0%,核心部件自研提升毛利
盈利指标,集成业务毛利率,37.0%,37.5%,38.0%,规模效应
盈利指标,净利润(亿元),0.65,0.98,1.35,盈利能力持续增强
盈利指标,净利率,9.0%,10.3%,11.2%,
盈利指标,ROE,12.5%,14.2%,16.0%,
研发指标,研发费用(亿元),0.89,1.12,1.46,
研发指标,研发费用率,12.3%,11.8%,12.1%,行业平均8-12%
研发指标,研发人员数量,260,290,320,
研发指标,研发人员占比,38%,37%,37%,
研发指标,发明专利数量,22,30,38,
研发指标,实用新型专利,85,108,126,
研发指标,软件著作权,30,42,52,
现金流,经营活动现金流(亿元),0.42,0.78,1.12,盈利质量高
现金流,投资活动现金流(亿元),-0.85,-1.20,-1.60,持续资本开支
现金流,筹资活动现金流(亿元),0.50,0.30,0.20,
运营指标,应收账款周转天数,105,100,95,持续优化
运营指标,存货周转天数,120,115,108,
运营指标,资产负债率,52%,48%,45%,
运营指标,员工总人数,650,760,860,
运营指标,人均创收(万元),111,125,141,效率持续提升
产能指标,本体产能(台/年),2500,2800,3000,
产能指标,本体实际产量(台),2125,2464,2760,
产能指标,本体产能利用率,85%,88%,92%,接近满产
产能指标,集成产线产能(条/年),60,70,80,
产能指标,集成产线实际产量(条),48,59,70,
产能指标,集成产线产能利用率,80%,84%,88%,接近满产
客户指标,前五大客户占比,55%,54%,52.9%,集中度略有下降
客户指标,客户复购率,60%,63%,65%,
客户指标,新增客户数量,28,35,42,
客户指标,在手订单(亿元),8.0,12.0,15.0,覆盖2024年预计收入120%+
募投项目,研发中心升级(亿元),,,3.50,建设期2年
募投项目,产能扩建(亿元),,,4.50,新增本体2000台+集成50条
募投项目,补流(亿元),,,2.00,
募投项目,募集资金合计(亿元),,,10.00,
