分类,指标/公司,数值/描述,来源/说明,对本项目启示
市场规模,求职培训总市场(2023),500亿元,含公考/职业/就业辅导,大市场但AI面试只切小块
市场规模,面试/求职技能细分,50-80亿元,细分估算,直接对标
市场规模,AI面试训练市场(2023),5-8亿元,极早期,蓝海阶段
市场规模,AI面试训练预测(2027),30-50亿元,CAGR 60-80%,高增长
市场规模,年新增求职者,1500万人,应届1100万+跳槽400万,用户基数大
用户画像,应届毕业生,1100万/年,付费50-200元/月,核心-规模最大需求集中
用户画像,考公/考研复试,500万/年,付费200-500元,高频刚需
用户画像,职场跳槽者,400万/年,付费100-300元/月,高客单价
用户画像,海归求职者,80万/年,付费300-500元/月,高付费能力
用户画像,面试准备率,90%+,行业调研,面试准备是刚需
用户画像,传统辅导价格,500-2000元/小时,市场调研,痛点-贵且不灵活
竞品,面试宝,App/小程序,MAU 15万/GPT-3.5/免费+19元月/Pre-A,直接竞品-先发但AI弱
竞品,Interviewing.io,Web,MAU 3万/AI+真人/$125次/B轮,海外对标-真人模式
竞品,猎聘AI助手,功能模块(内嵌),上市公司/规则引擎/免费,大厂子功能-流量入口
竞品,牛客网AI面试,功能模块(内嵌),成熟平台/会员制,社区+工具
竞品,ChatGPT,通用AI工具,MAU过亿/GPT-4/$20月,最大潜在替代者
竞品,文心一言,通用AI工具,国产大模型/免费,国内替代-中文优势
竞品,LinkedIn Learning,在线学习,面试课程/月$29.99,内容型-非AI互动
竞品,CareerVidz,YouTube+课程,面试辅导视频/付费课程,传统模式-无AI个性化
行业融资,AI求职工具2023 Pre-A,2000万元/估值1亿,同赛道参考,种子/Pre-A估值锚点
行业融资,职业教育平台2024 B轮,1.5亿元/估值8亿,相近赛道参考,同赛道成长阶段参考
行业融资,AI学习工具2023种子轮,500万元/估值3000万,AI工具种子轮参考,与本项目同阶段对标
行业融资,模拟面试平台2024 A轮,3000万元/估值2亿,直接可比,验证赛道可融资性
行业趋势,全球AI教育市场(2023),50亿美元/CAGR 35%,第三方报告,大趋势支撑长期空间
行业趋势,大模型API成本趋势,持续下降/GPT-4已降60%+,技术动态,降门槛但也降低壁垒
行业趋势,秋招/春招季节性,9-11月/3-4月峰值,产品数据,影响留存和续费模型设计
本项目,MAU,5万,产品后台,早期
本项目,次日留存,35%,产品后台,中等
本项目,7日留存,18%,产品后台,偏低
本项目,付费转化,3.5%,产品后台,高于平均
本项目,月付费用户,1800人,产品后台,尚少
本项目,续费率,55%,产品后台,高于平均
本项目,NPS,42,用户调研,优秀
本项目,CAC,~15元,运营数据,低成本
本项目,LTV(加权),~120元,估算,健康
本项目,LTV/CAC,~8x,估算,远高于3x
本项目,社交分享率,15%,产品后台,裂变载体
