类型,公司或交易,标的业务,年份,买方/角色,对价(亿元),EV/Revenue,EV/EBITDA,标的收入(亿),标的净利(亿),毛利率,技术领域,工艺,交易逻辑,备注
可比交易,瑞萨收购Dialog,模拟/混合信号,2021,瑞萨(买方),420,8.5x,N/A,49.4,亏损,42%,汽车/工业IC,28nm,补充汽车模拟能力,国际大型
可比交易,英飞凌收购赛普拉斯,MCU/存储/连接,2020,英飞凌(买方),700,4.2x,22x,166.7,亏损,38%,汽车MCU+连接,28nm,补齐汽车半导体全品类,国际大型
可比交易,思瑞浦收购创芯微,电池管理芯片,2023,思瑞浦(买方),15,12.0x,N/A,1.3,亏损,48%,电池管理IC,55nm,拓展汽车电子客户,国内小额
可比交易,纳芯微收购传感器业务,车规传感器,2023,纳芯微(买方),8,10.0x,N/A,0.8,亏损,45%,车规信号链,180nm,补充传感器产品线,国内小额
可比交易,某车规MCU公司C轮,车规MCU,2023,VC/PE,30,15.0x,N/A,2.0,亏损,50%,车规MCU,28nm,一级市场估值参考,创业融资
可比交易,杰发科技并入四维图新,车规MCU+SoC,2017,四维图新(买方),38,7.6x,25x,5.0,0.5,40%,车载信息+MCU,40nm,拓展汽车电子,国内并购
可比交易,闻泰收购安世半导体,功率+MCU,2019,闻泰(买方),268,3.5x,18x,76.5,10.2,35%,功率/模拟/汽车IC,65nm,手机转型汽车半导体,跨境并购
可比交易,韦尔收购豪威科技,CIS传感器,2019,韦尔(买方),135,5.2x,20x,26.0,3.5,28%,CMOS传感器,65nm,手机CIS拓展汽车,国内并购
可比公司,芯旺微,车规MCU,2024,A股上市,50,16.0x,N/A,3.1,-0.2,52%,车规MCU,40nm,国产车规MCU头部,国内可比
可比公司,杰发科技,车规MCU+SoC,2024,子公司估值,60,5.5x,25x,8.0,1.2,38%,车载MCU+IVI,28nm,国内车规领先,国内可比
可比公司,纳芯微,车规信号链,2024,A股上市,180,14.0x,N/A,12.9,-1.5,42%,信号链+驱动,180nm,汽车信号链龙头,国内可比
可比公司,国芯科技,车规MCU,2024,A股上市,35,17.5x,N/A,2.0,-0.5,40%,车规MCU,40nm,早期车规MCU,国内可比
可比公司,裕太微,车载以太网,2024,A股上市,45,11.3x,N/A,4.0,-0.3,55%,车载通信,28nm,汽车通信新势力,国内可比
估值参考,蓝芯(独立估值低值),车规MCU+功率,2025,拟收购,28,8.0x,N/A,3.5,-0.6,52%,MCU+SiC,28nm,可比交易法低值,待尽调
估值参考,蓝芯(独立估值中值),车规MCU+功率,2025,拟收购,35,10.0x,N/A,3.5,-0.6,52%,MCU+SiC,28nm,可比交易法中值,待尽调
估值参考,蓝芯(独立估值高值),车规MCU+功率,2025,拟收购,45.5,13.0x,N/A,3.5,-0.6,52%,MCU+SiC,28nm,含技术溢价,待尽调
估值参考,蓝芯(2024E前瞻低值),车规MCU+功率,2025,拟收购,28,5.6x,N/A,5.0,0.0,53%,MCU+SiC,28nm,基于2024E收入,预计盈亏平衡
估值参考,蓝芯(2024E前瞻中值),车规MCU+功率,2025,拟收购,35,7.0x,N/A,5.0,0.0,53%,MCU+SiC,28nm,基于2024E收入,预计盈亏平衡
估值参考,蓝芯(含协同低值),车规MCU+功率,2025,拟收购,32,9.1x,N/A,3.5,-0.6,52%,MCU+SiC,28nm,含协同效应,协同约4-6亿
估值参考,蓝芯(含协同高值),车规MCU+功率,2025,拟收购,51,14.6x,N/A,3.5,-0.6,52%,MCU+SiC,28nm,含协同效应,协同约4-6亿
估值参考,建议谈判区间,车规MCU+功率,2025,拟收购,30-42,8.6x-12.0x,N/A,3.5,-0.6,52%,MCU+SiC,28nm,综合建议,含部分协同
